investor_id,syndicate_id,transaction_amount,transaction_date
45,5,23433.923819624928,2022-02-09
48,19,26111.9304268916,2022-01-14
65,3,45518.37761568177,2022-06-05
68,9,13073.713796984228,2021-03-07
68,11,13903.97952047662,2022-08-03
10,6,46575.42778547526,2020-11-26
84,7,19298.995826040777,2022-05-24
22,7,38809.9743906682,2022-08-29
37,5,17652.308959630693,2020-03-16
88,2,11688.272624905334,2022-09-18
71,5,16132.136315818245,2022-04-24
89,6,25841.320570461634,2021-10-24
89,6,11867.271473582756,2020-03-15
13,7,36770.122730348594,2022-08-28
59,4,4671.150683108316,2020-08-06
66,18,28112.44692613673,2020-08-12
40,16,29256.179531585356,2020-10-19
88,19,16467.87515415418,2022-06-10
47,10,3178.9243288675766,2020-05-22
89,5,26103.19293518367,2020-03-13
82,18,4127.442931903317,2021-01-30
38,3,42555.08570971055,2020-02-29
26,20,47519.12492781388,2022-05-03
78,4,13982.948265563633,2020-04-06
73,14,5967.327952044057,2022-03-03
10,12,15049.566590698547,2021-10-27
21,14,10635.66807809792,2022-09-06
81,5,1436.2959301279548,2021-12-18
70,18,44673.76858037121,2022-07-08
80,7,39661.75110402184,2020-05-23
48,16,15841.031001633803,2021-09-21
65,3,32596.52096533671,2021-11-14
83,11,48550.10451842917,2021-10-04
100,18,39492.19658899945,2021-09-14
89,6,37699.67825938531,2021-08-22
50,5,30773.581205281516,2022-09-02
30,5,19127.094078789392,2020-11-30
20,16,29647.349757706954,2020-11-02
20,3,8706.789597915857,2021-10-28
15,12,2850.4407610906173,2022-04-13
40,3,20244.87441953313,2020-01-19
33,2,8552.362734255103,2021-05-06
66,15,8484.374768149377,2020-05-07
10,20,24511.679231611804,2022-06-11
58,17,9669.838776389814,2020-07-29
33,12,10794.074943941489,2020-04-19
32,2,29181.808235332755,2022-08-25
75,2,23396.07846635721,2021-07-07
24,14,36187.832950582066,2020-03-31
36,7,23689.452452147543,2020-08-07
76,14,16058.02168880269,2020-01-07
56,7,32157.5215089561,2021-07-04
29,20,24648.761110762935,2020-07-05
35,17,48901.5677969626,2020-11-16
1,4,13140.59926075587,2020-08-08
1,15,34077.83555638137,2022-07-13
37,3,49381.15211006436,2021-12-31
54,6,46373.67516467872,2020-04-18
6,8,13375.785552844438,2022-01-03
39,16,36253.9870007371,2020-05-24
18,15,19940.384227714676,2020-10-21
80,4,38215.014729556,2021-05-15
5,8,7159.657303245733,2021-07-09
43,8,48681.69406857966,2020-07-06
59,20,8325.428040022467,2021-04-03
32,7,35277.25993762071,2021-09-04
2,20,17930.196136329527,2020-01-28
66,18,10159.922785083778,2020-09-11
42,12,20151.864120388902,2021-11-15
58,4,48596.630018586795,2020-12-04
36,14,6623.600771229868,2022-09-09
12,5,2621.591509177325,2022-03-19
47,20,40009.73832606304,2020-04-05
83,7,41179.789722285095,2022-06-20
92,12,24803.948945138196,2022-04-10
1,15,48085.66991411168,2020-03-04
15,19,31758.12921450404,2021-10-30
100,13,29958.892359092144,2022-06-04
54,4,41814.227293898024,2020-10-12
13,6,1054.6930493758027,2022-02-13
43,8,10638.292448529748,2022-03-07
85,15,15069.937138206189,2020-02-18
76,12,22890.100819644373,2022-08-20
69,10,7065.988835288207,2020-01-15
7,12,43126.503012956986,2020-10-09
69,17,36065.488113710046,2022-04-07
48,8,38778.8377565809,2021-02-15
4,2,5464.901240475075,2020-04-27
77,19,25571.649471957626,2021-03-18
53,1,6866.5470090259505,2022-04-01
79,10,14427.98801142104,2022-02-11
16,9,46106.831583135856,2020-04-26
21,19,38858.75805732524,2022-08-17
100,12,38830.78423880448,2021-06-08
59,20,37901.22678305799,2020-12-21
24,18,20827.522696179447,2020-09-22
80,16,5260.81195582539,2021-07-31
14,4,46612.97478450175,2021-05-29
86,11,35025.30054463064,2020-07-13
49,15,39133.84464425856,2022-04-21
50,16,39789.11235302996,2021-06-20
70,2,41343.696714709884,2020-06-26
42,13,19734.748269753243,2020-09-26
36,12,46804.27878494118,2021-02-11
65,8,24009.818883505377,2022-06-13
96,12,11582.018445605816,2022-06-09
70,14,26216.61931565033,2020-12-09
95,3,32555.850064630846,2021-04-19
1,2,16651.56375993452,2020-08-11
51,17,6233.510729455053,2022-05-17
